"state1_name","state2_name","state1_fips","state2_fips","distance_km","state_comb","n","mig_5yago","mig_current"
"California","Wisconsin",6,55,2595.7021484375,655,6,"California","Wisconsin"
"California","Idaho",6,16,896.002258300781,616,39,"California","Idaho"
"California","Minnesota",6,27,2307.51025390625,627,8,"California","Minnesota"
"California","Iowa",6,19,2280.83349609375,619,19,"California","Iowa"
"California","Missouri",6,29,2369.66650390625,629,24,"California","Missouri"
"California","Maryland",6,24,3709.9912109375,624,10,"California","Maryland"
"California","Oregon",6,41,756.759948730469,641,69,"California","Oregon"
"California","Michigan",6,26,2956.13500976562,626,4,"California","Michigan"
"California","Montana",6,30,1363.0654296875,630,27,"California","Montana"
"California","Utah",6,49,720.978332519531,649,44,"California","Utah"
"California","Virginia",6,51,3567.03051757812,651,36,"California","Virginia"
"California","Illinois",6,17,2637.08618164062,617,30,"California","Illinois"
"California","Texas",6,48,1954.66528320312,648,88,"California","Texas"
"California","Louisiana",6,22,2616.68212890625,622,6,"California","Louisiana"
"California","Florida",6,12,3562.08276367188,612,8,"California","Florida"
"California","Kentucky",6,21,3003.77416992188,621,1,"California","Kentucky"
"California","Tennessee",6,47,2948.72607421875,647,6,"California","Tennessee"
"California","New York",6,36,3753.0263671875,636,22,"California","New York"
"California","Georgia",6,13,3304.87622070312,613,17,"California","Georgia"
"California","Hawaii",6,15,4022.67236328125,615,27,"California","Hawaii"
"California","Delaware",6,10,3816.06225585938,610,3,"California","Delaware"
"California","Washington",6,53,1138.64367675781,653,75,"California","Washington"
"California","Oklahoma",6,40,1970.98168945312,640,8,"California","Oklahoma"
"California","Alaska",6,2,3682.29370117188,602,25,"California","Alaska"
"California","Pennsylvania",6,42,3589.08569335938,642,6,"California","Pennsylvania"
"California","Colorado",6,8,1234.06555175781,608,45,"California","Colorado"
"California","North Carolina",6,37,3585.03662109375,637,18,"California","North Carolina"
"California","Indiana",6,18,2886.02783203125,618,2,"California","Indiana"
"California","Kansas",6,20,1854.23278808594,620,17,"California","Kansas"
"California","District of Columbia",6,11,3689.251953125,611,39,"California","District of Columbia"
"California","Rhode Island",6,44,4094.93725585938,644,5,"California","Rhode Island"
"California","Wyoming",6,56,1201.0498046875,656,35,"California","Wyoming"
"California","Mississippi",6,28,2749.34106445312,628,4,"California","Mississippi"
"California","Massachusetts",6,25,4066.83666992188,625,17,"California","Massachusetts"
"California","Connecticut",6,9,3997.52270507812,609,20,"California","Connecticut"
"California","Vermont",6,50,3969.01635742188,650,4,"California","Vermont"
"California","Maine",6,23,4225.93017578125,623,2,"California","Maine"
"California","New Hampshire",6,33,4060.119140625,633,4,"California","New Hampshire"
"California","New Mexico",6,35,1242.61938476562,635,30,"California","New Mexico"
"California","Ohio",6,39,3177.2431640625,639,4,"California","Ohio"
"California","Alabama",6,1,2999.02685546875,601,3,"California","Alabama"
"California","Nebraska",6,31,1755.4638671875,631,15,"California","Nebraska"
"California","South Dakota",6,46,1803.87512207031,646,14,"California","South Dakota"
"California","Nevada",6,32,344.476135253906,632,142,"California","Nevada"
"California","New Jersey",6,34,3862.72900390625,634,3,"California","New Jersey"
"California","North Dakota",6,38,1927.10070800781,638,12,"California","North Dakota"
"California","South Carolina",6,45,3485.84814453125,645,6,"California","South Carolina"
"California","Arizona",6,4,775.347106933594,604,58,"California","Arizona"
"California","Arkansas",6,5,2435.52661132812,605,7,"California","Arkansas"
"Wisconsin","California",55,6,2595.7021484375,5506,7,"Wisconsin","California"
"Wisconsin","Idaho",55,16,1945.80603027344,5516,11,"Wisconsin","Idaho"
"Wisconsin","Minnesota",55,27,383.326019287109,5527,16,"Wisconsin","Minnesota"
"Wisconsin","Iowa",55,19,400.744964599609,5519,4,"Wisconsin","Iowa"
"Wisconsin","Missouri",55,29,726.579956054688,5529,5,"Wisconsin","Missouri"
"Wisconsin","Maryland",55,24,1259.71337890625,5524,2,"Wisconsin","Maryland"
"Wisconsin","Oregon",55,41,2420.61059570312,5541,3,"Wisconsin","Oregon"
"Wisconsin","Michigan",55,26,367.079559326172,5526,4,"Wisconsin","Michigan"
"Wisconsin","Illinois",55,17,514.055114746094,5517,18,"Wisconsin","Illinois"
"Wisconsin","Texas",55,48,1674.8896484375,5548,6,"Wisconsin","Texas"
"Wisconsin","Florida",55,12,1904.69396972656,5512,17,"Wisconsin","Florida"
"Wisconsin","Tennessee",55,47,1022.48968505859,5547,2,"Wisconsin","Tennessee"
"Wisconsin","Hawaii",55,15,6590.166015625,5515,1,"Wisconsin","Hawaii"
"Wisconsin","Washington",55,53,2360.5615234375,5553,5,"Wisconsin","Washington"
"Wisconsin","Oklahoma",55,40,1189.08154296875,5540,4,"Wisconsin","Oklahoma"
"Wisconsin","Alaska",55,2,4346.884765625,5502,5,"Wisconsin","Alaska"
"Wisconsin","Pennsylvania",55,42,1077.81506347656,5542,4,"Wisconsin","Pennsylvania"
"Wisconsin","Colorado",55,8,1429.95825195312,5508,2,"Wisconsin","Colorado"
"Wisconsin","North Carolina",55,37,1362.76232910156,5537,2,"Wisconsin","North Carolina"
"Wisconsin","Indiana",55,18,608.217956542969,5518,5,"Wisconsin","Indiana"
"Wisconsin","Kansas",55,20,974.552612304688,5520,2,"Wisconsin","Kansas"
"Wisconsin","District of Columbia",55,11,1247.95446777344,5511,2,"Wisconsin","District of Columbia"
"Wisconsin","Wyoming",55,56,1417.79528808594,5556,3,"Wisconsin","Wyoming"
"Wisconsin","Massachusetts",55,25,1493.04174804688,5525,8,"Wisconsin","Massachusetts"
"Wisconsin","Connecticut",55,9,1437.50354003906,5509,4,"Wisconsin","Connecticut"
"Wisconsin","Ohio",55,39,761.595031738281,5539,10,"Wisconsin","Ohio"
"Wisconsin","South Dakota",55,46,810.99365234375,5546,12,"Wisconsin","South Dakota"
"Wisconsin","Nevada",55,32,2268.2421875,5532,8,"Wisconsin","Nevada"
"Wisconsin","North Dakota",55,38,866.449279785156,5538,6,"Wisconsin","North Dakota"
"Wisconsin","Arizona",55,4,2177.37255859375,5504,1,"Wisconsin","Arizona"
"Idaho","California",16,6,896.002258300781,1606,2,"Idaho","California"
"Idaho","Iowa",16,19,1725.02404785156,1619,3,"Idaho","Iowa"
"Idaho","Oregon",16,41,476.976287841797,1641,6,"Idaho","Oregon"
"Idaho","Montana",16,30,489.584014892578,1630,9,"Idaho","Montana"
"Idaho","Utah",16,49,611.648864746094,1649,4,"Idaho","Utah"
"Idaho","Washington",16,53,567.113464355469,1653,5,"Idaho","Washington"
"Idaho","Colorado",16,8,958.848388671875,1608,5,"Idaho","Colorado"
"Idaho","Wyoming",16,56,587.339660644531,1656,6,"Idaho","Wyoming"
"Idaho","Mississippi",16,28,2509.90307617188,1628,1,"Idaho","Mississippi"
"Idaho","New Mexico",16,35,1323.623046875,1635,7,"Idaho","New Mexico"
"Idaho","Alabama",16,1,2718.2138671875,1601,2,"Idaho","Alabama"
"Idaho","Nebraska",16,31,1244.08544921875,1631,5,"Idaho","Nebraska"
"Idaho","New Jersey",16,34,3286.822265625,1634,3,"Idaho","New Jersey"
"Idaho","North Dakota",16,38,1145.71215820312,1638,1,"Idaho","North Dakota"
"Idaho","Arkansas",16,5,2160.60864257812,1605,1,"Idaho","Arkansas"
"Minnesota","California",27,6,2307.51025390625,2706,6,"Minnesota","California"
"Minnesota","Wisconsin",27,55,383.326019287109,2755,12,"Minnesota","Wisconsin"
"Minnesota","Idaho",27,16,1597.95593261719,2716,3,"Minnesota","Idaho"
"Minnesota","Iowa",27,19,472.194213867188,2719,17,"Minnesota","Iowa"
"Minnesota","Missouri",27,29,894.09765625,2729,1,"Minnesota","Missouri"
"Minnesota","Maryland",27,24,1641.80578613281,2724,4,"Minnesota","Maryland"
"Minnesota","Oregon",27,41,2067.650390625,2741,1,"Minnesota","Oregon"
"Minnesota","Michigan",27,26,729.796997070312,2726,3,"Minnesota","Michigan"
"Minnesota","Montana",27,30,1170.88305664062,2730,12,"Minnesota","Montana"
"Minnesota","Illinois",27,17,807.8642578125,2717,1,"Minnesota","Illinois"
"Minnesota","Texas",27,48,1705.10717773438,2748,2,"Minnesota","Texas"
"Minnesota","Louisiana",27,22,1710.09765625,2722,3,"Minnesota","Louisiana"
"Minnesota","Florida",27,12,2223.38598632812,2712,4,"Minnesota","Florida"
"Minnesota","Tennessee",27,47,1335.61010742188,2747,1,"Minnesota","Tennessee"
"Minnesota","New York",27,36,1530.13317871094,2736,1,"Minnesota","New York"
"Minnesota","Hawaii",27,15,6265.0771484375,2715,9,"Minnesota","Hawaii"
"Minnesota","Washington",27,53,1986.92810058594,2753,2,"Minnesota","Washington"
"Minnesota","Alaska",27,2,3992.21606445312,2702,5,"Minnesota","Alaska"
"Minnesota","Colorado",27,8,1223.51403808594,2708,6,"Minnesota","Colorado"
"Minnesota","Indiana",27,18,962.842712402344,2718,1,"Minnesota","Indiana"
"Minnesota","District of Columbia",27,11,1630.52685546875,2711,3,"Minnesota","District of Columbia"
"Minnesota","Wyoming",27,56,1108.47436523438,2756,11,"Minnesota","Wyoming"
"Minnesota","Vermont",27,50,1708.32263183594,2750,1,"Minnesota","Vermont"
"Minnesota","New Mexico",27,35,1653.02087402344,2735,1,"Minnesota","New Mexico"
"Minnesota","Ohio",27,39,1143.26794433594,2739,6,"Minnesota","Ohio"
"Minnesota","Nebraska",27,31,686.557983398438,2731,2,"Minnesota","Nebraska"
"Minnesota","South Dakota",27,46,505.798370361328,2746,20,"Minnesota","South Dakota"
"Minnesota","Nevada",27,32,1970.22290039062,2732,1,"Minnesota","Nevada"
"Minnesota","North Dakota",27,38,486.032318115234,2738,72,"Minnesota","North Dakota"
"Minnesota","Arizona",27,4,1979.62084960938,2704,2,"Minnesota","Arizona"
"Minnesota","Arkansas",27,5,1275.93615722656,2705,1,"Minnesota","Arkansas"
"Iowa","California",19,6,2280.83349609375,1906,4,"Iowa","California"
"Iowa","Wisconsin",19,55,400.744964599609,1955,11,"Iowa","Wisconsin"
"Iowa","Minnesota",19,27,472.194213867188,1927,3,"Iowa","Minnesota"
"Iowa","Missouri",19,29,422.684265136719,1929,8,"Iowa","Missouri"
"Iowa","Michigan",19,26,703.80615234375,1926,8,"Iowa","Michigan"
"Iowa","Montana",19,30,1389.67028808594,1930,3,"Iowa","Montana"
"Iowa","Illinois",19,17,425.518676757812,1917,7,"Iowa","Illinois"
"Iowa","Texas",19,48,1289.8212890625,1948,3,"Iowa","Texas"
"Iowa","Georgia",19,13,1373.57983398438,1913,6,"Iowa","Georgia"
"Iowa","Hawaii",19,15,6298.9150390625,1915,3,"Iowa","Hawaii"
"Iowa","West Virginia",19,54,1154.22741699219,1954,7,"Iowa","West Virginia"
