state.x,in_median_age10,in_median_hh_inc10,in_median_inc_m10,in_median_inc_f10,in_mean_wkhr10,statefip,state.y,in_tot_civilian_labor10,in_pct_employed10,in_pct_unemploy10,in_female_labor10,in_female_employed10,in_tot_pop_wt10,in_pct_male10,in_pct_age_0_17_10,in_pct_age_above65_10,in_pct_hispanic10,in_pct_white10,in_pct_black10,in_pct_asian10
Alabama,37.8,40474,30953,21018,38.6,1,Alabama,2244208,52.3,7,54.1,47.7,4785298,48.5,76.3,13.7,3.8,69.5,26.4,1.1
Alaska,33.8,64576,40408,26618,41.9,2,Alaska,373703,61.7,6.6,65,59.6,713985,52.2,73.6,7.5,5.7,67.4,3.5,5.5
Arizona,35.9,46789,31580,24416,38.3,4,Arizona,3011568,53.5,7.2,55.8,49.7,6413737,49.7,74.5,13.8,29.8,79.4,4.1,2.7
Arkansas,37.3,38307,29038,20242,38.9,5,Arkansas,1377434,54.4,5.8,56,50.9,2921606,49,75.7,14.4,6.3,78.4,15.9,1.1
California,35.2,57708,33624,25795,37.8,6,California,18625515,55.7,8.2,57.9,50.7,37349363,49.7,75.1,11.4,37.7,62.4,6,13.1
Colorado,36,54046,35465,25392,38.6,8,Colorado,2714224,61.9,6.8,63.4,57.8,5049071,50.1,75.7,10.9,20.8,83.3,3.9,2.6
Connecticut,40,64032,42639,30089,37.7,9,Connecticut,1939959,60.7,7.1,63.1,56.8,3577073,48.6,77.2,14.2,13.5,78.2,10,3.8
Delaware,38.8,55847,36194,27259,38.2,10,Delaware,453206,57.4,5.9,60.6,55.3,899769,48.5,77.1,14.4,8.2,70.7,21.3,3.1
District of Columbia,33.9,60903,45104,40367,40.1,11,District of Columbia,341495,58,8.2,63.5,56.2,604453,47.3,83.2,11.5,9.1,40.2,51.2,3.6
Florida,40.7,44409,29480,23165,38.3,12,Florida,9203585,52,8,56,49,18843326,48.9,78.8,17.4,22.6,76.5,15.9,2.4
Georgia,35.4,46430,31655,23366,38.9,13,Georgia,4765482,55.6,8,58.9,51.7,9712587,48.8,74.3,10.6,8.8,60.7,30.6,3.3
Hawaii,38.7,63030,35492,27240,38.2,15,Hawaii,694445,58.4,5.1,61.2,56.8,1363621,50.2,77.7,14.5,8.9,24.6,1.5,38.9
Idaho,34.7,43490,28305,18772,37.7,16,Idaho,757590,57.4,6.4,58.3,53.3,1571450,50.1,72.7,12.5,11.3,92.2,0.6,1.2
Illinois,36.6,52972,36240,25004,37.9,17,Illinois,6674563,58.6,7.6,61,54.6,12843166,49,75.7,12.6,15.9,72.5,14.5,4.6
Indiana,36.9,44613,32248,21513,38.1,18,Indiana,3250476,57.2,6.9,59.3,53.5,6490621,49.3,75.3,13,6,85.1,9,1.6
Iowa,38.2,47961,32016,22174,38.1,19,Iowa,1651501,63.9,4.6,64.2,60.2,3049883,49.4,76.2,14.8,5,91.5,3.1,1.7
Kansas,36.2,48257,32265,21811,38.5,20,Kansas,1491225,62,5.3,63.5,58.8,2859169,49.6,74.6,13.3,10.5,85.2,5.8,2.5
Kentucky,38,40062,30223,21283,38.6,21,Kentucky,2044016,52.8,6.6,55.2,49.6,4346266,49.2,76.5,13.3,3,88.3,7.7,1.1
Louisiana,35.9,42505,34495,21107,39.9,22,Louisiana,2187678,55.4,6.2,57.3,52,4544228,49,75.4,12.3,4.3,62.8,32,1.6
Maine,42.7,45815,31306,22579,37.9,23,Maine,699827,58.9,5.3,61.1,57.1,1327567,48.9,79.4,15.9,1.2,95.3,1.1,1
Maryland,38,68854,42610,33022,38.8,24,Maryland,3164140,62.8,6.1,65.1,59.8,5785982,48.4,76.6,12.3,8.2,58.9,29.4,5.5
Massachusetts,39.1,62072,41587,30274,37.5,25,Massachusetts,3590908,60.7,6.9,63,57.4,6557254,48.3,78.4,13.8,9.6,81.1,6.8,5.4
Michigan,39,45413,31624,21460,37.2,26,Michigan,4870674,52.8,9.4,58.4,50.6,9877574,49.1,76.4,13.8,4.4,79.3,14,2.4
Minnesota,37.5,55459,36453,25850,37.6,27,Minnesota,2938277,64.5,5.9,66.5,61.9,5310584,49.6,75.8,12.9,4.7,86.1,5.2,4
Mississippi,36.1,36851,29456,20837,39.3,28,Mississippi,1340288,51,7.2,54,47.5,2970036,48.5,74.6,12.9,2.5,59.5,37.3,0.9
Missouri,38,44301,31257,22391,38.4,29,Missouri,3036146,57.6,6.4,60.3,55.2,5996231,48.9,76.4,14.1,3.6,83.1,11.7,1.6
Montana,40.1,42666,29574,19647,38.1,30,Montana,505674,58.8,4.8,60.1,56.8,990898,50.4,77.5,14.9,2.8,89.9,0.5,0.6
Nebraska,36.3,48408,31787,21615,38.7,31,Nebraska,1000883,65.9,4.6,66.3,62.7,1830429,49.5,74.8,13.5,9.2,88.9,4.4,1.6
Nevada,36.3,51001,31978,25895,38.5,32,Nevada,1393170,56.5,9.3,60.5,52.7,2704642,50.5,75.4,12.1,26.6,72.9,8,7.3
