State,acs_tot_civilian_labor,acs_pct_employed,acs_pct_unemploy,acs_female_labor,acs_female_employed,acs_tot_pop_wt,acs_pct_male,acs_pct_age_0_17,acs_pct_age_above65,acs_pct_hispanic,acs_pct_white,acs_pct_black,acs_pct_asian,statefip
Alabama,2220715,52.5,4.9,52.3,47.8,4849377,48.4,72.8,52.4,4,68.5,26.6,1.2,1
Alaska,381695,61.9,5.1,63.8,59.2,736732,52.3,70.2,47.1,6.7,65.6,3.4,6,2
Arizona,3113634,54.2,4.7,53.8,49.6,6731484,49.7,71.6,50.8,30.5,78.3,4.2,3.2,4
Arkansas,1361069,54.2,3.9,52.7,49.3,2966369,49.1,71.9,51.5,6.9,78.3,15.8,1.2,5
California,19276719,57.4,5.3,56.8,52,38802500,49.6,72.1,50.8,38.6,61.4,5.8,13.9,6
Colorado,2854920,63.7,3.7,62.3,59,5355866,50.3,72.7,50.1,21.2,84.4,4,2.9,8
Delaware,472991,58.5,4.2,59.7,55.7,935614,48.5,73.8,52.2,8.9,69.2,21.7,3.9,10
District of Columbia,379186,62.3,6.1,66.7,61.3,658893,47.4,77.4,53.2,10.4,40.2,48.8,3.8,11
Connecticut,1952827,61.6,5.3,62.4,57.7,3596677,48.8,74.1,51.9,15,76.8,10.3,4.2,9
Florida,9503651,53.6,4.7,54,49.6,19893297,48.9,75.8,51.7,24.1,76,16.2,2.6,12
Georgia,4869705,56.7,5.1,57.4,52.5,10097343,48.7,70.8,52,9.1,59.9,31.3,3.7,13
Idaho,769337,58.1,3.4,55.7,52.9,1634464,50,69.2,50.5,12,91.7,0.7,1.5,16
Hawaii,702065,58.1,3.3,58.7,56,1419561,50.5,74.5,49.7,10.1,25.4,2.2,37.6,15
Illinois,6681866,60,5.3,60.2,55.5,12880580,49.1,72.7,51.5,16.7,72.1,14.3,5.2,17
Indiana,3321845,59.5,4.5,59.2,55.1,6596855,49.2,71.5,51.5,6.4,84.1,9.3,2,18
Iowa,1667252,64.7,3,63.5,60.9,3107126,49.7,72.2,50.8,5.5,91.3,3.1,2.2,19
Kansas,1474596,61.9,3.4,60.5,57.5,2904021,49.8,70.7,50.7,11.3,84.9,5.9,2.6,20
Kentucky,2067812,54.4,4.5,54.5,50.4,4413457,49.3,72.9,51.4,3.3,87.4,7.9,1.2,21
