State,median_age15,median_hh_inc15,median_hh_inc_black15,median_hh_inc_asian15,median_hh_inc_white15,median_hh_inc_hisp15,median_inc_m15,median_inc_f15,mean_wkhr15,statefip
Mississippi,37,40593,26818,53217,50609,40480,31700,22381,39.6,28
Missouri,38.4,50238,33501,61891,52707,42260,35628,24872,38.7,29
Montana,39.9,49509,55809,56672,50858,38584,32489,22262,38.4,30
Nebraska,36.1,54996,32019,45737,59078,39247,36817,25264,39.3,31
Nevada,37.8,52431,36981,60906,58723,45665,33560,26848,38.4,32
New Hampshire,42.8,70303,36821,82396,70659,58149,42344,30621,38.2,33
New Jersey,39.6,72222,47268,108504,83881,47365,46574,31765,38.4,34
New Mexico,37.4,45382,32490,60142,54864,38246,30564,21976,38.1,35
New York,38.3,60850,42652,66482,70379,41657,40570,30878,38.5,36
North Carolina,38.4,47830,32884,75558,54700,34935,32379,25123,39,37
North Dakota,34.9,60557,31456,76864,62480,49183,42186,26799,40.7,38
Ohio,39.3,51075,29608,65057,55448,38515,36958,24837,38.3,39
Oklahoma,36.3,48568,31438,56043,51874,40251,35488,22889,39.7,40
Oregon,39.1,54148,31833,71726,55803,44462,34277,24310,37.4,41
Pennsylvania,40.7,55702,33487,63643,60327,35695,39778,26505,38.5,42
Rhode Island,39.7,58073,36719,56516,64284,35455,40264,30200,37.5,44
South Carolina,39,47238,31230,58443,55677,38901,31974,23796,38.9,45
South Dakota,36.9,53017,22399,48917,56177,41553,35574,25063,39.8,46
Tennessee,38.7,47275,34462,65072,50779,38383,32734,23982,38.9,47
Texas,34.4,55653,40812,78121,68654,43345,36598,25264,40.2,48
Vermont,43.1,56990,40201,50374,58031,53162,35502,26541,37.8,50
Utah,30.6,62912,40590,62367,66516,46677,36791,21143,37.1,49
Virginia,37.8,66262,44480,92071,71403,62913,41421,30119,39.1,51
Washington,37.5,64129,45866,85352,66681,47065,41859,28451,38.4,53
West Virginia,42.2,42019,31740,76286,42349,42289,33822,22951,39,54
Wisconsin,39.4,55638,29223,60474,59056,41280,37774,26173,38.5,55
Wyoming,36.5,60214,41471,70453,61683,46370,42376,22526,40.7,56
Puerto Rico,40,18626,18045,14081,25572,18570,16756,16846,35,72
Alabama,38.7,44765,29854,51846,51754,36162,34804,22998,39,1
Alaska,33.3,73355,52562,67405,81711,63937,41430,29648,42,2
Arizona,37.4,51492,39771,70456,57485,40643,32726,25860,38.5,4
Arkansas,37.9,41995,27256,67547,46393,37051,31104,22642,39.4,5
California,36.2,64500,45217,83385,75933,49682,36556,27038,38,6
Colorado,36.4,63909,45793,70487,70332,46041,40186,28642,39,8
Delaware,39.7,61255,47189,100236,65267,45277,40025,30711,38.3,10
District of Columbia,33.8,75628,41522,93877,124801,65973,52377,45201,40.2,11
Connecticut,40.6,71346,44418,90894,81324,42731,46435,32701,38.2,9
Florida,41.8,49426,35936,62794,54626,41776,31441,25382,38.7,12
Georgia,36.4,51244,37855,72924,60125,41252,35154,25277,39.1,13
Idaho,35.8,48275,40278,65246,49245,40819,32036,19349,38,16
Hawaii,37.7,73486,69448,76164,74197,60320,38276,30911,38.9,15
Illinois,37.7,59588,33950,80076,66237,49122,40856,27150,38.4,17
Indiana,37.5,50532,31639,60765,53080,41020,36454,23449,38.7,18
Iowa,38.1,54736,28425,51202,56646,38141,37901,25007,38.8,19
Kansas,36.2,53906,35350,61296,57799,40814,37240,24650,39.1,20
Kentucky,38.8,45215,30982,64621,46917,39219,32295,23160,38.8,21
Louisiana,36.4,45727,27537,58847,56661,41476,37630,23460,39.8,22
Maine,44.6,51494,27137,50562,52062,52226,34492,25045,38.1,23
Maryland,38.3,75847,60618,96429,85530,65708,46509,35647,39,24
Massachusetts,39.4,70628,41732,81537,77091,38195,45792,31845,37.8,25
Michigan,39.7,51084,31099,75933,55083,41844,36390,22803,38.1,26
Minnesota,37.9,63488,30306,72344,66979,43380,40930,29658,38.3,27
