State,tot_civilian_labor15,pct_employed15,pct_unemploy15,female_labor15,female_employed15,tot_pop_wt15,pct_male15,pct_age_0_17_15,pct_age_above65_15,pct_hispanic15,pct_white15,pct_black15,pct_asian15,statefip
Mississippi,1324308,51.4,5,52.8,47.7,2992333,48.4,70.9,52.3,2.9,58.8,37.7,1,28
Missouri,3042538,59.4,3.3,58.8,55.9,6083672,49,72.9,51.6,4,82.4,11.7,1.9,29
Montana,513209,59,2.8,58.1,55.7,1032949,50.2,73.9,50,3.6,88.9,0.5,0.9,30
Nebraska,1019543,66.8,2.2,64.4,62.4,1896190,49.7,70.9,50.7,10.4,88.2,4.8,2.1,31
Nevada,1446814,58.1,5,58.2,53.7,2890845,50.1,73.4,50.2,28.1,67.5,8.5,8,32
New Hampshire,744971,64.7,2.9,63.3,60.9,1330608,49.4,75.8,51,3.3,93.6,1.6,2.6,33
New Jersey,4684036,60.8,4.3,59.8,55.8,8958013,48.8,73.9,51.8,19.7,67.7,13.4,9.5,34
New Mexico,950312,53.6,4.3,53.5,50,2085109,49.6,71.9,50.8,48,73.4,2.3,1.4,35
New York,10128222,59,4.1,58.6,55,19795791,48.6,74.6,52.1,18.8,63.8,15.6,8.4,36
North Carolina,4886759,56.8,4.2,56.6,52.5,10042802,48.8,73,52,9.1,69.1,21.6,2.7,37
North Dakota,415475,67.1,1.8,64.5,62.9,756928,51.3,72.5,48.6,3.4,88.2,2.1,1.3,38
Ohio,5863639,59.1,4,58.9,55.3,11613423,48.9,73.3,51.7,3.5,82,12.3,2,39
Oklahoma,1854533,57.4,3.3,55.5,52.4,3911338,49.6,71.1,51,10.1,72.6,7.3,2,40
Oregon,2018994,57.6,4.2,57.5,53.7,4028977,49.4,74.9,51,12.7,85.2,1.9,4.1,41
Pennsylvania,6518212,58.6,3.9,58,54.6,12802503,48.9,74.7,51.7,6.8,81.1,11,3.3,42
Rhode Island,559733,60.3,4,60.8,57.4,1056298,48.4,74.9,52.2,14.4,80.4,6.2,3.4,44
South Carolina,2336291,55.1,4.3,55.3,51.5,4896146,48.7,73.4,52.1,5.4,67.2,27.5,1.4,45
South Dakota,454996,65.1,2.7,63.2,61.1,858469,50.3,71,50.2,3.5,84.6,1.5,1.4,46
Tennessee,3198285,56.8,3.8,56,52.5,6600299,48.7,73.3,51.9,5.1,77.7,16.8,1.6,47
Texas,13437133,60.3,3.5,57.4,54.1,27469114,49.6,69.4,50.9,38.9,74.9,12,4.5,48
Vermont,340689,62.9,2.5,62.4,60.5,626042,49.3,75.6,51.2,1.7,94.7,1.3,1.4,50
Utah,1472535,64.9,2.7,59.2,56.8,2995919,50.3,65.1,50.2,13.7,87.2,1.2,2.3,49
Virginia,4317898,60.7,3.5,60.7,57.3,8382993,49.2,73.4,51.3,9,68.2,19.2,6.3,51
