state1_name,state2_name,state1_fips,state2_fips,distance_km,state_comb,migration_n,mig_1yago,mig_current
California,Wisconsin,6,55,2595.702148,655,NA,California,Wisconsin
California,Idaho,6,16,896.0022583,616,15,California,Idaho
California,Minnesota,6,27,2307.510254,627,2,California,Minnesota
California,Iowa,6,19,2280.833496,619,2,California,Iowa
California,Missouri,6,29,2369.666504,629,NA,California,Missouri
California,Maryland,6,24,3709.991211,624,15,California,Maryland
California,Oregon,6,41,756.7599487,641,24,California,Oregon
California,Michigan,6,26,2956.13501,626,3,California,Michigan
California,Montana,6,30,1363.06543,630,7,California,Montana
California,Utah,6,49,720.9783325,649,15,California,Utah
California,Virginia,6,51,3567.030518,651,4,California,Virginia
California,Illinois,6,17,2637.086182,617,8,California,Illinois
California,Texas,6,48,1954.665283,648,27,California,Texas
California,Louisiana,6,22,2616.682129,622,NA,California,Louisiana
California,Florida,6,12,3562.082764,612,2,California,Florida
California,Kentucky,6,21,3003.77417,621,NA,California,Kentucky
California,Tennessee,6,47,2948.726074,647,1,California,Tennessee
California,New York,6,36,3753.026367,636,6,California,New York
California,Georgia,6,13,3304.876221,613,13,California,Georgia
California,Hawaii,6,15,4022.672363,615,7,California,Hawaii
California,Delaware,6,10,3816.062256,610,NA,California,Delaware
California,Washington,6,53,1138.643677,653,24,California,Washington
California,Oklahoma,6,40,1970.981689,640,11,California,Oklahoma
California,West Virginia,6,54,3386.704102,654,NA,California,West Virginia
California,Alaska,6,2,3682.293701,602,6,California,Alaska
California,Pennsylvania,6,42,3589.085693,642,1,California,Pennsylvania
California,Colorado,6,8,1234.065552,608,5,California,Colorado
California,North Carolina,6,37,3585.036621,637,8,California,North Carolina
California,Indiana,6,18,2886.027832,618,NA,California,Indiana
California,Kansas,6,20,1854.232788,620,2,California,Kansas
California,District of Columbia,6,11,3689.251953,611,10,California,District of Columbia
California,Rhode Island,6,44,4094.937256,644,2,California,Rhode Island
California,Wyoming,6,56,1201.049805,656,20,California,Wyoming
California,Mississippi,6,28,2749.341064,628,NA,California,Mississippi
California,Massachusetts,6,25,4066.83667,625,4,California,Massachusetts
California,Connecticut,6,9,3997.522705,609,NA,California,Connecticut
California,Vermont,6,50,3969.016357,650,NA,California,Vermont
California,Maine,6,23,4225.930176,623,1,California,Maine
California,New Hampshire,6,33,4060.119141,633,NA,California,New Hampshire
California,New Mexico,6,35,1242.619385,635,7,California,New Mexico
California,Ohio,6,39,3177.243164,639,NA,California,Ohio
California,Alabama,6,1,2999.026855,601,NA,California,Alabama
California,Nebraska,6,31,1755.463867,631,4,California,Nebraska
California,South Dakota,6,46,1803.875122,646,6,California,South Dakota
California,Nevada,6,32,344.4761353,632,46,California,Nevada
California,New Jersey,6,34,3862.729004,634,NA,California,New Jersey
California,North Dakota,6,38,1927.100708,638,NA,California,North Dakota
California,South Carolina,6,45,3485.848145,645,3,California,South Carolina
California,Arizona,6,4,775.3471069,604,25,California,Arizona
California,Arkansas,6,5,2435.526611,605,1,California,Arkansas
Wisconsin,California,55,6,2595.702148,5506,NA,Wisconsin,California
Wisconsin,Idaho,55,16,1945.80603,5516,NA,Wisconsin,Idaho
Wisconsin,Minnesota,55,27,383.3260193,5527,7,Wisconsin,Minnesota
Wisconsin,Iowa,55,19,400.7449646,5519,4,Wisconsin,Iowa
Wisconsin,Missouri,55,29,726.5799561,5529,NA,Wisconsin,Missouri
Wisconsin,Maryland,55,24,1259.713379,5524,6,Wisconsin,Maryland
Wisconsin,Oregon,55,41,2420.610596,5541,NA,Wisconsin,Oregon
Wisconsin,Michigan,55,26,367.0795593,5526,4,Wisconsin,Michigan
Wisconsin,Montana,55,30,1540.879272,5530,NA,Wisconsin,Montana
