"state1_name","state2_name","state1_fips","state2_fips","distance_km","state_comb","n","mig_1yago","mig_current"
"California","Wisconsin",6,55,2595.7021484375,655,NA,"California","Wisconsin"
"California","Idaho",6,16,896.002258300781,616,15,"California","Idaho"
"California","Minnesota",6,27,2307.51025390625,627,2,"California","Minnesota"
"California","Iowa",6,19,2280.83349609375,619,2,"California","Iowa"
"California","Missouri",6,29,2369.66650390625,629,NA,"California","Missouri"
"California","Maryland",6,24,3709.9912109375,624,15,"California","Maryland"
"California","Oregon",6,41,756.759948730469,641,24,"California","Oregon"
"California","Michigan",6,26,2956.13500976562,626,3,"California","Michigan"
"California","Montana",6,30,1363.0654296875,630,7,"California","Montana"
"California","Utah",6,49,720.978332519531,649,15,"California","Utah"
"California","Virginia",6,51,3567.03051757812,651,4,"California","Virginia"
"California","Illinois",6,17,2637.08618164062,617,8,"California","Illinois"
"California","Texas",6,48,1954.66528320312,648,27,"California","Texas"
"California","Louisiana",6,22,2616.68212890625,622,NA,"California","Louisiana"
"California","Florida",6,12,3562.08276367188,612,2,"California","Florida"
"California","Kentucky",6,21,3003.77416992188,621,NA,"California","Kentucky"
"California","Tennessee",6,47,2948.72607421875,647,1,"California","Tennessee"
"California","New York",6,36,3753.0263671875,636,6,"California","New York"
"California","Georgia",6,13,3304.87622070312,613,13,"California","Georgia"
"California","Hawaii",6,15,4022.67236328125,615,7,"California","Hawaii"
"California","Delaware",6,10,3816.06225585938,610,NA,"California","Delaware"
"California","Washington",6,53,1138.64367675781,653,24,"California","Washington"
"California","Oklahoma",6,40,1970.98168945312,640,11,"California","Oklahoma"
"California","West Virginia",6,54,3386.7041015625,654,NA,"California","West Virginia"
"California","Alaska",6,2,3682.29370117188,602,6,"California","Alaska"
"California","Pennsylvania",6,42,3589.08569335938,642,1,"California","Pennsylvania"
"California","Colorado",6,8,1234.06555175781,608,5,"California","Colorado"
"California","North Carolina",6,37,3585.03662109375,637,8,"California","North Carolina"
"California","Indiana",6,18,2886.02783203125,618,NA,"California","Indiana"
"California","Kansas",6,20,1854.23278808594,620,2,"California","Kansas"
"California","District of Columbia",6,11,3689.251953125,611,10,"California","District of Columbia"
"California","Rhode Island",6,44,4094.93725585938,644,2,"California","Rhode Island"
"California","Wyoming",6,56,1201.0498046875,656,20,"California","Wyoming"
"California","Mississippi",6,28,2749.34106445312,628,NA,"California","Mississippi"
"California","Massachusetts",6,25,4066.83666992188,625,4,"California","Massachusetts"
