node,in_degree,node,in_degree,node,in_degree
California,43,Tennessee,29,Mississippi,26
Wisconsin,24,New York,31,Massachusetts,25
Idaho,31,Georgia,36,Connecticut,23
Minnesota,27,Hawaii,26,Vermont,22
Iowa,30,Delaware,19,Maine,16
Missouri,27,Washington,29,New Hampshire,22
Maryland,21,Oklahoma,18,New Mexico,30
Oregon,28,West Virginia,23,Ohio,33
Michigan,26,Alaska,27,Alabama,19
Montana,28,Pennsylvania,23,Nebraska,27
Utah,24,Colorado,37,South Dakota,22
Virginia,25,North Carolina,31,Nevada,27
Illinois,26,Indiana,23,New Jersey,18
Texas,42,Kansas,28,North Dakota,27
Louisiana,29,District of Columbia,35,South Carolina,28
Florida,40,Rhode Island,19,Arizona,26
Kentucky,23,Wyoming,34,Arkansas,24
