node,in_degree,node,in_degree,node,in_degree
California,49,Tennessee,29,Mississippi,16
Wisconsin,30,New York,48,Massachusetts,32
Idaho,15,Georgia,39,Connecticut,25
Minnesota,31,Hawaii,20,Vermont,7
Iowa,23,Delaware,7,Maine,19
Missouri,33,Washington,38,New Hampshire,15
Maryland,30,Oklahoma,22,New Mexico,20
Oregon,25,West Virginia,15,Ohio,40
Michigan,35,Alaska,21,Alabama,30
Montana,14,Pennsylvania,41,Nebraska,14
Utah,28,Colorado,38,South Dakota,9
Virginia,40,North Carolina,44,Nevada,24
Illinois,41,Indiana,31,New Jersey,32
Texas,48,Kansas,27,North Dakota,12
Louisiana,21,District of Columbia,13,South Carolina,28
Florida,47,Rhode Island,14,Arizona,39
Kentucky,25,Wyoming,10,Arkansas,23
